Codigo;Precio;Descripcion;CodBarras;idproveedor;descuento;ganancia
7000;"3184,95";"Mordillo figura Mickey  (Tres varientes: Estrella, Cara Mickey, Guante)    ";7796384070007;2;;
7001;"3184,95";"Mordillo figura Minnie (Tres varientes: Moño, Cara Minnie, Flor)            ";7796384070014;2;;
7002;"4157,82";Mordillo Mickey 2 Figuras con Argolla                                        ¡Volvio a ingresar!                       ;7796384070021;2;;
7003;"4157,82";Mordillo Minnie 2 Figuras con  Argolla                                       ¡Volvio a ingresar!          ;7796384070038;2;;
7200;"9229,16";Cepillo y peine Minnie & Mickey - Motivo unisex                                         ;7796384072001;2;;
7300;"3212,83";Prendedor Mickey por unidad  con estuche                                                       ;7796384073008;2;;
7301;"3212,83";Prendedor Minnie por unidad con estuche                                                       ;7796384073015;2;;
7302;"15964,67";"Prendedor x 6 unidades - 2 Unisex, 2 minnie, 2 mickey                                   ";7796384073022;2;;
7320;"1546,46";Esponja Mickey;7796384073206;2;;
7321;"1546,46";Esponja Minnie;7796384073213;2;;
7800;"5458,71";Bàbero algodon con capa impermeable Minnie                            ¡Nueva estampa!;7796384078003;2;;
7801;"5458,71";Babero algodón con capa impermeable Mickey                           ¡Nueva estampa!  ;7796384078010;2;;
8499;"10393,54";Plato termico Minnie & Mickey - Motivo unisex;7796384084998;2;;
8500;"5856,12";Plato Mickey Línea Tutor;7796384085001;2;;
8501;"5856,12";Plato Minnie Linea Tutor;7796384085018;2;;
8502;"5322,01";Plato Pooh Línea Tutor;7796384085025;2;;
8503;"5322,01";Plato Kello Kitty Línea Tutor;7796384085032;2;;
8504;"4721,14";Set Cubiertos Mickey Línea Tutor;7796384085049;2;;
8505;"4721,14";Set Cubiertos Minnie Línea Tutor;7796384085056;2;;
8508;"6643,66";Cerealera Mickey                                                                                                        ;7796384085087;2;;
8509;"6643,66";Cerealera Minnie                                                                                                ;7796384085094;2;;
8510;"6413,00";Chupete para Fruta - Mickey       ¡NUEVO!;7796384085100;2;;
8511;"6413,00";Chupete para Fruta - Minnie       ¡NUEVO!;7796384085117;2;;
9000;"2963,46";Chupete Anatómico de Silicona Mickey Small ;7796384090005;2;;
9001;"2963,46";Chupete Anatómico de Silicona Mickey Medium ;7796384090012;2;;
9002;"2963,46";Chupete Anatómico de Silicona Mickey Large ;7796384090029;2;;
9003;"2963,46";Chupete Anatómico de Silicona Minnie Small ;7796384090036;2;;
9004;"2963,46";Chupete Anatómico de Silicona Minnie Medium ;7796384090043;2;;
9005;"2963,46";Chupete Anatómico de Silicona Minnie Large ;7796384090050;2;;
9012;"4204,08";Biberón 125 ml. Mickey Tetina Siliconada Small con Asas   ;7796384090128;2;;
9013;"4204,08";Biberón 125 ml. Minnie Tetina Siliconada Small  con Asas   ;7796384090135;2;;
9014;"4204,08";Biberón 125 ml. Pooh arbol Tetina Siliconada Small con Asas    DISCONTINUADO;7796384090142;2;;
9015;"4426,97";Biberón 250 ml. Mickey Tetina Siliconada Medium con Asas   ;7796384090159;2;;
9016;"4426,97";Biberón 250 ml. Mickey Tetina Siliconada Large con Asas   ;7796384090166;2;;
9017;"4426,97";Biberón 250 ml. Minnie&Daisy Tetina Siliconada Medium con Asas   ;7796384090173;2;;
9018;"4426,97";Biberón 250 ml. Minnie&Daisy Tetina Siliconada Large con Asas   ;7796384090180;2;;
9030;"6397,04";Mamadera 250 ml Boca Ancha Hello Kitty Medium;7796384090302;2;;
9031;"6397,04";Mamadera 250 ml Boca Ancha Hello Kitty Large;7796384090319;2;;
9032;"5756,66";Mamadera 150ml Boca Ancha Toy Story con Asas                                                  ;7796384090326;2;;
