Codigo;Precio;Descripcion;CodBarras;idproveedor;descuento;ganancia
P38.002.02;13202.55;Mamadera FC+ 300 ml Control de Temperatura Cocodrilo;4008600400028;20;32.5;"10,00"
P38.002.14;13202.55;Mamadera FC+ 300 ml Control de Temperatura Jirafa;4008600400035;20;32.5;"10,00"
P38.003.02;12109.77;Mamadera FC+ 150 ml Control de Temperatura Cocodrilo;4008600407508;20;32.5;"10,00"
P38.003.14;12109.77;Mamadera FC+ 150 ml Control de Temperatura Jirafa;4008600407492;20;32.5;"10,00"
P38.004.05;12109.77;Mamadera FC+ 150 ml Control de Temperatura Corazón;4008600407423;20;32.5;"10,00"
P38.005.98;6456.15;Set de 2 Cucharas Largas - Colores Surtidos;4008600082538;20;"19,00";"10,00"
P38.006.98;9394.5;Set de 2 Cucharas Largas de Silicona - Colores Surtidos;4008600097518;20;"19,00";"10,00"
P38.007.98;14324.56;Bowl con 2 tapas - Colores Surtidos;4008600177876;20;"19,00";"10,00"
P38.008.98;21043.77;Moldes para Helado;4008600184850;20;"19,00";"10,00"
P38.009.02;17516.22;Vaso Mini Magic Cup Hormiga Azul;4008600398479;20;"19,00";"10,00"
P38.009.13;17516.22;Vaso Mini Magic Cup Roller Rojo;4008600398455;20;"19,00";"10,00"
P38.009.17;17516.22;Vaso Mini Magic Cup Ratón Verde;4008600398493;20;"19,00";"10,00"
P38.010.02;16224.48;Vaso Trainer Cup Cebra Azul;4008600398431;20;"19,00";"10,00"
P38.010.14;16224.48;Vaso Trainer Cup Pingüino Rosa;4008600398417;20;"19,00";"10,00"
P38.011.02;15536.3;Vaso Magic Cup León Azul;4008600398509;20;"19,00";"10,00"
P38.011.13;15536.3;Vaso Magic Cup Cangrejo Rojo;4008600398462;20;"19,00";"10,00"
P38.011.17;15536.3;Vaso Magic Cup Gato Verde;4008600398424;20;"19,00";"10,00"
P38.012.16;16060.9;Vaso Action Cup Pez Violeta;4008600398523;20;32.5;"10,00"
P38.012.17;16060.9;Vaso Action Cup Leopardo Verde;4008600398516;20;32.5;"10,00"
P38.013.16;13366.13;Vaso Aprendizaje 150 ml Control de Temperatura Rojo;4008600388982;20;32.5;"10,00"
P38.013.17;13366.13;Vaso Aprendizaje 150 ml Control de Tempertatura Verde;4008600388951;20;32.5;"10,00"
P38.018.02;16062.43;Vaso Junior Cup 300 ml Efecto Camaleón - Pez Azul;7794440994434;20;"19,00";"10,00"
P38.018.07;16062.43;Vaso Junior Cup 300 ml Efecto Camaleón - Pulpo Rosa;7794440994427;20;"19,00";"10,00"
P38.018.98;16062.43;Vaso Nuk Junior Cup 300 ml Efecto Camaleón - Diseño surtido;4008600382430;20;32.5;"10,00"
P38.020.15;5152.36;Repuesto Pico Silicona para Vaso Aprendizaje y Active Cup;4008600115915;20;32.5;"10,00"
P38.021.01;21616.05;Cubetera para Alimentos;4008600211914;20;"19,00";"10,00"
P38.023.14;15322.46;Vaso Mini-Me Sip 300ml Mariposa - Rosa;4008600434634;20;"55,00";"10,00"
P38.023.17;15322.46;Vaso Mini-Me Sip 300ml Abeja - Verde;4008600434641;20;"55,00";"10,00"
P38.024.04;24552.86;Vaso Mini-Me Sip Acero Inoxidable 300ml Zorro -Beige;4008600434627;20;"55,00";"10,00"
P38.024.14;24552.86;Vaso Mini-Me Sip Acero Inoxidable 300ml Ciervo - Lilla;4008600434610;20;"55,00";"10,00"
P38.025.16;15937.82;Vaso Mini-Me Flip 450ml Lunares - Violeta;4008600434597;20;"55,00";"10,00"
P38.025.17;15937.82;Vaso Mini-Me Flip 450ml Lunares - Verde;4008600434603;20;"55,00";"10,00"
P38.026.14;28245.02;Vaso Mini-Me Flip Acero Inoxidable 500ml Flores - Lila;4008600434573;20;"55,00";"10,00"
P38.026.17;28245.02;Vaso Mini-Me Flip Acero Inoxidable 500ml Tierra - Verde;4008600434580;20;"55,00";"10,00"
P38.027.15;14559.42;Mamadera Perfect Match 150 ml Cont de Temperatura Arco Iris;4008600435686;20;32.5;"10,00"
P38.028.15;15872.7;Mamadera Perfect Match 260 ml Cont de Temperatura Arco Iris;4008600435693;20;32.5;"10,00"
P38.029.08;18219.27;Mamadera Perfect Match 260 ml Cont de Temp MICKEY MOUSE Gris;4008600436232;20;"37,00";"10,00"
P38.029.13;18219.27;Mamadera Perfect Match 260 ml Cont de Temp MICKEY MOUSE Roja;4008600436249;20;"37,00";"10,00"
P38.030.15;27785.56;Set de Regalo Perfect Match Arco Iris;4008600436355;20;32.5;"10,00"
P38.031.15;14385.07;Vaso Magic Cup Cats & Dogs;4008600424550;20;"19,00";"10,00"
P38.034.17;9415.01;Dosificador de Leche en Polvo - Verde Menta ¡NOVEDAD!;4008600181316;20;"19,00";"10,00"
P38.035.04;16507.55;Mamadera Perfect Match 360ml CT Mono ¡NOVEDAD!;4008600448976;20;"19,00";"10,00"
P38.102.05;32055.13;Set de Alimentación MICKEY MOUSE;4008600396659;20;"37,00";"10,00"
P38.103.09;"15464,00";Vaso Aprendizaje 150 ml Control de Temperatura MICKEY MOUSE Gris;7794440994625;20;"19,00";"10,00"
P38.103.13;"15464,00";Vaso Aprendizaje 150 ml Control de Temperatura MICKEY MOUSE Rojo;7794440994618;20;"37,00";"10,00"
P38.104.09;18289.53;Vaso Magic Cup MICKEY MOUSE Gris;4008600405429;20;"19,00";"10,00"
P38.104.14;18289.53;Vaso Magic Cup MICKEY MOUSE Rosa;4008600405436;20;"19,00";"10,00"
P38.105.04;18094.66;Vaso Kiddy Cup 300 ml REY LEON;4008600417200;20;"19,00";"10,00"
P38.106.05;11300.57;Set de 2 Chup. Space MICKEY MOUSE 0-6 meses Blanco/Gris;4008600405689;20;"19,00";"10,00"
P38.106.13;11300.57;Set de 2 Chup. Space MICKEY MOUSE 0-6 meses Rojo/Gris;4008600405672;20;"19,00";"10,00"
P38.107.05;11300.57;Set de 2 Chup. Space MICKEY MOUSE 6-18 meses Blanco/Gris;4008600405702;20;"19,00";"10,00"
P38.107.13;11300.57;Set de 2 Chup. Space MICKEY MOUSE 6-18 meses Rojo/Gris;4008600405696;20;"19,00";"10,00"
P38.111.98;16609.59;Vaso Nul Disney Active Cup 300 ml Winnie The Pooh - Diseño Surtido;4008600311768;20;23.5;"10,00"
P38.112.98;18094.66;Vaso NuK Vaso Kiddy Cup 300 ml BAMBI ¡NOVEDAD!;4008600418276;20;"19,00";"10,00"
P38.113.98;16609.59;Vaso Nuk Disney Sports Cup 450 ml Mickey / Minnie - Diseño Surtido;4008600311713;20;"37,00";"10,00"
P38.114.98;18219.27;Mamadera Perfect Match 260ml CT Winnie the Pooh - Winnie ¡NOVEDAD!;4008600449003;20;"19,00";"10,00"
P38.300.98;18289.53;Vaso Magic Cup PEPPA PIG ¡NOVEDAD!;4008600443384;20;"19,00";"10,00"
P39.001.07;9364.24;Set de 2 Chup. Star Día & Noche 0-6 meses Koala Celeste;4008600411079;20;32.5;"10,00"
P39.001.14;9364.24;Set de 2 Chup. Star Día & Noche 0-6 meses Gato Rosa;4008600411086;20;32.5;"10,00"
P39.002.07;9364.24;Set de 2 Chup. Star Día & Noche 6-18 meses Cocodrilo Verde;4008600411024;20;32.5;"10,00"
P39.002.14;9364.24;Set de 2 Chup. Star Día & Noche 6-18 meses Koala Rosa;4008600411031;20;32.5;"10,00"
P39.003.07;8961.18;Set de 2 Chup. Signature 0-6 meses Celeste;4008600381754;20;32.5;"10,00"
P39.003.14;8961.18;Set de 2 Chup. Signature 0-6 meses Rosa;4008600381747;20;32.5;"10,00"
P39.004.02;8961.18;Set de 2 Chup. Signature 6-18 meses Azul;4008600381730;20;32.5;"10,00"
P39.004.14;8961.18;Set de 2 Chup. Signature 6-18 meses Fucsia;4008600381723;20;32.5;"10,00"
P39.005.02;8961.18;Set de 2 Chup. Signature 18-36 meses Azul;4008600381709;20;32.5;"10,00"
P39.005.14;8961.18;Set de 2 Chup. Signature 18-36 meses Fucsia;4008600381716;20;32.5;"10,00"
P39.012.98;6260.78;Chupete Signature 0-6 meses Diseños Surtidos;4008600385929;20;32.5;"10,00"
P39.013.98;5796.69;Chupete Signature 6-18 meses Diseños Surtidos;4008600385905;20;32.5;"10,00"
P39.014.98;5796.69;Chupete Signature 18-36 meses Diseños Surtidos;4008600385912;20;32.5;"10,00"
P39.015.17;7306.89;Set de Cepillos de Entrenamiento;4008600098799;20;32.5;"10,00"
P39.016.17;6313.08;Cepillo Dental de Inicio;4008600098836;20;"19,00";"10,00"
P39.017.17;9209.89;Mordillo Extra Refrigerante Pez;4008600271482;20;32.5;"10,00"
P39.020.05;41014.77;Esterilizador de Microondas Express Plus;4008600260332;20;32.5;"10,00"
P39.022.05;11133.91;Alicate Corta Uñas;4008600246466;20;32.5;"10,00"
P39.023.98;6745.37;Tijera para Uñas - Colores Surtidos;4008600122968;20;32.5;"10,00"
